,product_id,fit,more_sustainable_materials,product_name,product_price,color_name,style_id,color_id,scrapy_datetime,size_number,size_model,cotton,polyester,elastane,elasterell
40,0985197004,slim_fit,,slim_jeans,19.99,dark_denim_blue,0985197,004,2021-10-16 22:13:23,,,1.0,0.0,0.01,0.0
41,0985197005,slim_fit,Recycled cotton 20%,slim_jeans,19.99,dark_denim_blue,0985197,005,2021-10-16 22:13:23,,,0.99,0.65,0.01,0.0
42,0985197006,slim_fit,,slim_jeans,19.99,light_denim_blue,0985197,006,2021-10-16 22:13:23,187,31/32,0.99,0.65,0.01,0.0
43,1004476002,slim_fit,,freefit®_slim_jeans,49.99,light_denim_blue,1004476,002,2021-10-16 22:13:23,,,0.9,0.0,0.02,0.08
44,1004476001,slim_fit,,freefit®_slim_jeans,49.99,light_denim_blue,1004476,001,2021-10-16 22:13:23,182,31/32,0.9,0.0,0.02,0.08
45,1004476004,slim_fit,,freefit®_slim_jeans,49.99,dark_denim_blue,1004476,004,2021-10-16 22:13:23,182,31/32,0.9,0.0,0.02,0.08
46,1004476005,slim_fit,,freefit®_slim_jeans,49.99,black/no_fade_black,1004476,005,2021-10-16 22:13:23,182,31/32,0.9,0.0,0.02,0.08
47,0427159006,skinny_fit,,trashed_skinny_jeans,39.99,light_denim_blue,0427159,006,2021-10-16 22:13:23,184,31/32,0.93,0.06,0.01,0.0
48,0427159001,skinny_fit,,trashed_skinny_jeans,39.99,black_denim,0427159,001,2021-10-16 22:13:23,,,0.91,0.07,0.02,0.0
49,0427159002,skinny_fit,,trashed_skinny_jeans,39.99,blue_washed_out,0427159,002,2021-10-16 22:13:23,,,0.93,0.06,0.01,0.0
50,0427159003,skinny_fit,,trashed_skinny_jeans,39.99,denim_blue,0427159,003,2021-10-16 22:13:23,,,0.93,0.06,0.01,0.0
51,0427159004,skinny_fit,,trashed_skinny_jeans,39.99,light_denim_blue,0427159,004,2021-10-16 22:13:23,,,0.99,0.0,0.01,0.0
52,0427159005,skinny_fit,,trashed_skinny_jeans,39.99,dark_denim_blue,0427159,005,2021-10-16 22:13:23,,,0.72,0.2,0.01,0.0
53,0427159007,skinny_fit,,trashed_skinny_jeans,18.99,black_washed_out,0427159,007,2021-10-16 22:13:23,,,0.91,0.07,0.02,0.0
54,0427159008,skinny_fit,,trashed_skinny_jeans,18.99,denim_blue,0427159,008,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
55,0427159010,skinny_fit,,trashed_skinny_jeans,39.99,white_denim,0427159,010,2021-10-16 22:13:23,,,0.99,0.0,0.01,0.0
56,0427159011,skinny_fit,,trashed_skinny_jeans,24.99,light_blue_washed_out,0427159,011,2021-10-16 22:13:23,,,0.93,0.06,0.01,0.0
57,0427159017,skinny_fit,,trashed_skinny_jeans,24.99,super_light_denim_blue,0427159,017,2021-10-16 22:13:23,,,1.0,0.0,0.0,0.0
58,0427159022,skinny_fit,,trashed_skinny_jeans,9.99,black/trashed,0427159,022,2021-10-16 22:13:23,,,0.93,0.06,0.01,0.0
59,0427159023,skinny_fit,,trashed_skinny_jeans,21.99,light_denim_blue,0427159,023,2021-10-16 22:13:23,,,0.93,0.06,0.01,0.0
60,0427159025,skinny_fit,,trashed_skinny_jeans,14.99,denim_blue/bleached,0427159,025,2021-10-16 22:13:23,,,0.93,0.06,0.01,0.0
61,0427159027,skinny_fit,,trashed_skinny_jeans,19.99,black/bleached,0427159,027,2021-10-16 22:13:23,,,0.93,0.06,0.01,0.0
62,0811993021,regular_fit,,regular_jeans,29.99,black,0811993,021,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
63,0811993001,regular_fit,,regular_jeans,12.99,black/washed_out,0811993,001,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
64,0811993002,regular_fit,,regular_jeans,29.99,denim_blue,0811993,002,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
65,0811993003,regular_fit,Recycled cotton 20%,regular_jeans,29.99,dark_denim_blue,0811993,003,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
66,0811993006,regular_fit,,regular_jeans,14.99,graphite_gray,0811993,006,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
67,0811993007,regular_fit,,regular_jeans,29.99,light_denim_blue,0811993,007,2021-10-16 22:13:23,,,0.98,0.0,0.02,0.0
68,0811993022,regular_fit,,regular_jeans,16.99,cream,0811993,022,2021-10-16 22:13:23,,,0.99,0.0,0.01,0.0
69,0811993024,regular_fit,Recycled cotton 20%,regular_jeans,29.99,denim_blue,0811993,024,2021-10-16 22:13:23,,,1.0,0.0,0.01,0.0
70,0811993025,regular_fit,,regular_jeans,15.99,light_blue,0811993,025,2021-10-16 22:13:23,,,1.0,0.0,0.01,0.0
71,0811993028,regular_fit,Recycled cotton 20%,regular_jeans,29.99,denim_blue,0811993,028,2021-10-16 22:13:23,185,31/32,0.99,0.0,0.01,0.0
72,0811993031,regular_fit,Recycled cotton 20%,regular_jeans,29.99,dark_denim_blue,0811993,031,2021-10-16 22:13:23,,,0.99,0.0,0.01,0.0
73,0811993034,regular_fit,Recycled cotton 20%,regular_jeans,29.99,pale_denim_blue,0811993,034,2021-10-16 22:13:23,187,31/32,0.99,0.0,0.01,0.0
74,0811993036,regular_fit,Recycled cotton 20%,regular_jeans,29.99,blue,0811993,036,2021-10-16 22:13:23,183,31/32,0.99,0.0,0.01,0.0
75,0811993037,regular_fit,Recycled cotton 20%,regular_jeans,29.99,dark_blue,0811993,037,2021-10-16 22:13:23,182,31/32,0.99,0.0,0.01,0.0
76,0985159004,skinny_fit,Recycled cotton 20%,skinny_jeans,19.99,light_denim_blue,0985159,004,2021-10-16 22:13:23,,,1.0,0.0,0.01,0.0
77,0985159001,skinny_fit,Recycled cotton 20%,skinny_jeans,19.99,black,0985159,001,2021-10-16 22:13:23,187,31/32,1.0,0.0,0.01,0.0
78,0985159002,skinny_fit,Recycled cotton 20%,skinny_jeans,19.99,denim_blue,0985159,002,2021-10-16 22:13:23,187,31/32,1.0,0.0,0.01,0.0
79,0985159003,skinny_fit,Recycled cotton 20%,skinny_jeans,19.99,dark_gray,0985159,003,2021-10-16 22:13:23,,,0.99,0.63,0.01,0.0
80,0985159005,skinny_fit,Recycled cotton 20%,skinny_jeans,19.99,dark_blue,0985159,005,2021-10-16 22:13:23,187,32/32,1.0,0.0,0.01,0.0
